dataset,encoding,classical_mean,quantum_mean,mean_diff_avg,mean_diff_std_across_seeds,cohens_d_avg,n_seeds_significant,n_seeds_total,modal_reps,modal_entanglement,arch_agreement_avg,classical_balanced_mean,quantum_balanced_mean,balanced_mean_diff_avg,stability,verdict
breast_cancer,pauli,0.9576,0.7266666666666668,-0.23093333333333335,0.010557777543908856,-2.972494902890979,5,5,1,linear,0.712,0.9532057416267943,0.6810143540669855,-0.2721913875598087,5/5,stable significant difference
breast_cancer,z,0.9576,0.9445333333333332,-0.013066666666666662,0.002190890230020664,-0.426117548693988,0,5,1,none,0.8480000000000001,0.9532057416267943,0.9425837320574162,-0.010622009569378,0/5,stable no difference
breast_cancer,zz,0.9576,0.8453333333333333,-0.11226666666666665,0.015067256625617767,-2.162518878948721,3,5,1,linear,0.584,0.9532057416267943,0.8233875598086124,-0.12981818181818186,3/5,seed-sensitive -- inconclusive
digits_4v9,pauli,1.0,0.7861333333333334,-0.21386666666666665,0.004482063017059108,-3.220651112657934,5,5,1,linear,0.952,1.0,0.7863666666666667,-0.2136333333333334,5/5,stable significant difference
digits_4v9,z,1.0,0.9698666666666668,-0.030133333333333328,0.003069563848859021,-0.9998900486934439,0,5,1,none,0.992,1.0,0.9698095238095238,-0.030190476190476122,0/5,stable no difference
digits_4v9,zz,1.0,0.8880000000000001,-0.11199999999999996,0.00699205898780101,-2.242462888826288,5,5,1,linear,0.664,1.0,0.88785,-0.11215,5/5,stable significant difference
iris_hard,pauli,0.9676,0.7404,-0.22719999999999999,0.017866169147301818,-2.0096513663020312,3,5,1,linear,0.9359999999999999,0.9676,0.7404,-0.22719999999999993,3/5,seed-sensitive -- inconclusive
iris_hard,z,0.9676,0.9204000000000001,-0.04719999999999999,0.004816637831516916,-0.9009530654438901,0,5,1,none,1.0,0.9676,0.9204000000000001,-0.0472,0/5,stable no difference
iris_hard,zz,0.9676,0.8240000000000001,-0.1436,0.011781341180018499,-1.6775236652075596,1,5,1,full,0.792,0.9676,0.8240000000000001,-0.14359999999999992,1/5,seed-sensitive -- inconclusive
wine,pauli,0.9692307692307693,0.6547692307692308,-0.31446153846153846,0.0106920309870117,-3.299017752434635,5,5,1,linear,0.8240000000000001,0.9683099567099568,0.6484450216450217,-0.319864935064935,5/5,stable significant difference
wine,z,0.9692307692307693,0.9513846153846155,-0.017846153846153845,0.010580768531722707,-0.5460516335423724,0,5,1,none,1.0,0.9683099567099568,0.9487073593073593,-0.019602597402597354,0/5,stable no difference
wine,zz,0.9692307692307693,0.744,-0.22523076923076926,0.010005915410159447,-2.929194850899426,5,5,1,full,0.6,0.9683099567099568,0.7388320346320346,-0.2294779220779221,5/5,stable significant difference
